"block_number","contract_address","base_fees","transaction_count","base_fees_256"
12965000,"0x7eb51e189348bf50484c19ef0378f2a2a411bc50",27048000000000,1.0,27048000000000
12965000,"0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9",98928000000000,1.0,98928000000000
12965000,"0x82f4ded9cec9b5750fbff5c2185aee35afc16587",46399000000000,1.0,46399000000000
12965000,"0x83e6f1e41cdd28eaceb20cb649155049fac3d5aa",37110000000000,1.0,37110000000000
12965000,"0x85ea56f9e45179be879c9f8a3a3e9bfbbe761839",214268000000000,1.0,214268000000000
12965000,"0x86704b803ee7ebe5dac52507607d4883beb6305d",71066000000000,2.0,71066000000000
12965000,"0x881d40237659c251811cec9c364ef91dc08d300c",506707000000000,3.0,506707000000000
12965000,"0x8b4d8443a0229349a9892d4f7cbe89ef5f843f72",763313000000000,1.0,763313000000000
12965000,"0x8e870d67f660d95d5be530380d0ec0bd388289e1",60389000000000,1.0,60389000000000
12965000,"0x92be6adb6a12da0ca607f9d87db2f9978cd6ec3e",229986000000000,1.0,229986000000000
12965000,"0x95de267b94130b1aa6dd664247433212b9a27286",700714000000000,2.0,700714000000000
12965000,"0x9c10aed865b63f0a789ae64041581eac63458209",92792000000000,1.0,92792000000000
12965000,"0x9d9f6f0ca56d2405bc9fd0478a1bf9e51ddc14bd",56410000000000,1.0,56410000000000
12965000,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48",49194000000000,1.0,49194000000000
12965000,"0xa0c68c638235ee32657e8f720a23cec1bfc77c77",154514000000000,2.0,154514000000000
12965000,"0xa0f38233688bb578c0a88102a95b846c18bc0ba7",46774000000000,1.0,46774000000000
12965000,"0xa356867fdcea8e71aeaf87805808803806231fdc",126672000000000,5.0,126672000000000
12965000,"0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb",26334000000000,1.0,26334000000000
12965000,"0xa537665ba646fa4444c7362254b71362dd17c397",95293000000000,2.0,95293000000000
12965000,"0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf",104927000000000,1.0,104927000000000
12965000,"0xa80f2c8f61c56546001f5fc2eb8d6e4e72c45d4c",87874000000000,2.0,87874000000000
12965000,"0xaf5cae4e99171a850566b485e41d5d7886949750",154564000000000,1.0,154564000000000
12965000,"0xb2be281e8b11b47fec825973fc8bb95332022a54",477722000000000,2.0,477722000000000
12965000,"0xb440dd674e1243644791a4adfe3a2abb0a92d309",482551000000000,1.0,482551000000000
12965000,"0xb5d4b554007df92e784601a2886afe720a424c94",56410000000000,1.0,56410000000000
12965000,"0xbb0e17ef65f82ab018d8edd776e8dd940327b28b",34529000000000,1.0,34529000000000
12965000,"0xbb97e381f1d1e94ffa2a5844f6875e6146981009",1099596000000000,18.0,1099596000000000
12965000,"0xbd3531da5cf5857e7cfaa92426877b022e612cf8",93450000000000,2.0,93450000000000
12965000,"0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f",64189000000000,1.0,64189000000000
12965000,"0xc27a2f05fa577a83ba0fdb4c38443c0718356501",46095000000000,1.0,46095000000000
12965000,"0xc36442b4a4522e871399cd717abdd847ab11fe88",183807000000000,1.0,183807000000000
12965000,"0xc3f733ca98e0dad0386979eb96fb1722a1a05e69",46173000000000,1.0,46173000000000
12965000,"0xc874b064f465bdd6411d45734b56fac750cda29a",84820000000000,1.0,84820000000000
12965000,"0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25",34435000000000,1.0,34435000000000
12965000,"0xcda72070e455bb31c7690a170224ce43623d0b6f",285846000000000,1.0,285846000000000
12965000,"0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405",83320000000000,1.0,83320000000000
12965000,"0xd2600fd59786b44c4869066018870aa33417f8f2",1137510000000000,1.0,1137510000000000
12965000,"0xd48c6a5c3046a29a57dad9b6453769c674b7d22f",128190000000000,6.0,128190000000000
12965000,"0xd54f502e184b6b739d7d27a6410a67dc462d69c8",300816000000000,2.0,300816000000000
12965000,"0xd9ca818d8db735fde245afaf55821ed7fa582d6c",185837000000000,1.0,185837000000000
12965000,"0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f",168340000000000,1.0,168340000000000
12965000,"0xdac17f958d2ee523a2206206994597c13d831ec7",765626000000000,15.0,765626000000000
12965000,"0xdd974d5c2e2928dea5f71b9825b8b646686bd200",32397000000000,1.0,32397000000000
12965000,"0xdef1c0ded9bec7f1a1670819833240f027b25eff",425984000000000,1.0,425984000000000
12965000,"0xe592427a0aece92de3edee1f18e0157c05861564",390916000000000,3.0,390916000000000
12965000,"0xe72752f55e69052ef40d989a843b9fa59e88b26b",177027000000000,1.0,177027000000000
12965000,"0xe72ecea44b6d8b2b3cf5171214d9730e86213ca2",121430000000000,1.0,121430000000000
12965000,"0xed9d63a96c27f87b07115b56b2e3572827f21646",128315000000000,1.0,128315000000000
12965000,"0xf2319b6d2ab252d8d80d8cec34daf0079222a624",74120000000000,1.0,74120000000000
12965000,"0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c",72522000000000,2.0,72522000000000
12965000,"0xf650c3d88d12db855b8bf7d11be6c55a4e07dcc9",196729000000000,1.0,196729000000000
12965000,"0xf84c5fff41b76406905b7241822fb27c80826553",279045000000000,1.0,279045000000000
12965000,"0xf955c57f9ea9dc8781965feae0b6a2ace2bad6f3",66586000000000,1.0,66586000000000
12965000,"0xf95c72caa240c856c57b3c12d78ad33d68e62e22",132725000000000,1.0,132725000000000
12965000,"0xfbddadd80fe7bda00b901fbaf73803f2238ae655",1129803000000000,1.0,1129803000000000
