"hash","number","mined_at","tips","base_fee_sum","contract_creation_sum","eth_transfer_sum","gas_used","base_fee_per_gas","eth_price"
"0x69ce9eda8f652f88c0d553ccee61f36d07007d069bbf4122fff903e93c6caec7",13666605,"2021-11-22 20:27:58+00",1.3356072111721638E+17,5.714417471221771E+18,0,7.280643878831401E+17,29338741,194773779530,4076.65523413
"0xcc1d89d3392e64f5c7e95ae76cfc2ee5b4891a2e192714cc665a3b964bb30418",13666606,"2021-11-22 20:28:17+00",2912909851394752,1.2902875705126914E+17,0,5.9514204356334E+16,591873,218000748558,4076.65523413
"0x67705f76e926b6a9170da6c2107e69baae018de506865d60ab550f11e4356cf1",13666607,"2021-11-22 20:28:19+00",2.3587033880379302E+17,9.216403682544893E+17,0,1.4904872096356198E+17,4804567,191825895706,4076.65523413
"0xf1ad368d6e01fbfe8752ae4ba9fd2acab6fa637d1677c0aba05a7a3eadfd0fe0",13666608,"2021-11-22 20:28:26+00",60384760169328416,4.309521394893582E+18,0,1.8062603954612723E+17,24550710,175535509763,4076.65523413
"0x0dccb6a94f2878ba961cacded7a3fdfdbd21d417ca815a6ea3f6b077510a5eca",13666609,"2021-11-22 20:28:30+00",5.253525229248828E+16,4.0192858719845574E+17,0,9.95276763831E+16,2120139,189576526444,4076.65523413
"0xdb2b4415ce887ebe53cefefd6be50aadc98fddbb6f950c339c16a107487895f4",13666610,"2021-11-22 20:28:31+00",33954570572152432,2.7187723329372154E+17,0,5.6864203289376E+16,1606472,169238700266,4076.65523413
"0x11ef0d32e8ee2da165aa127d336f56ef2df21903f92854a7fd4d69c33976b5e4",13666611,"2021-11-22 20:28:35+00",1.2449275308440707E+17,1.596277936905741E+18,4.014395833702807E+17,1.19985987235212E+17,10616488,150358379994,4076.65523413
"0xeb12f1d9e1eae45376860714c389794b5883218fcbb687b853415c98915f4f23",13666612,"2021-11-22 20:29:26+00",1.1597438651900493E+18,4.3358733264620196E+18,0,6.60331949310768E+17,29922185,144904970224,4076.65523413
"0xba342fbe59fc4ab68394bcf939f3dc45753f19c06989a8a901509cc477f1a5e7",13666613,"2021-11-22 20:29:36+00",1.8601170545496362E+17,4.873846479126837E+18,0,2.9436879160331994E+17,29901834,162994901220,4076.65523413
"0xb2ab951aa837eda97905139cfc60eb81edc0fefcb4b024a44574af0423b41dcb",13666614,"2021-11-22 20:29:41+00",3374822021582744,67507922840678496,0,1.925230225968E+16,368181,183355259616,4076.65523413
