dapp,contract,address
USDT,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7
USDC,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
1inch,1inch Network: CHI Token,0x0000000000004946c0e9F43F4Dee607b0eF1fA1c
Uniswap,Uniswap V3 Router,0xE592427A0AEce92De3Edee1F18E0157C05861564
MetaMask Swap,MetaMask Swap Router,0x881D40237659C251811CEC9c364ef91dC08D300C
Uniswap,Uniswap Positions PFT,0xC36442b4a4522E871399CD717aBDD847Ab11FE88
Polygon,Polygon Matic Bridge,0xA0c68C638235ee32657e8f720a23ceC1bFc77C77
Bulksender.app,Bulksender.app,0xd1917932A7Db6Af687B523D5Db5d7f5c2734763F
Axie Infinity,Axie Infinity: Ronin Bridge,0x1A2a1c938CE3eC39b6D47113c7955bAa9DD454F2
SushiSwap,SushiSwap: Router,0xd9e1cE17f2641f24aE83637ab66a2cca9C378B9F
OpenSea,OpenSea,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b
Tornado Cash,Tornado Cash Proxy,0x722122dF12D4e14e13Ac3b6895a86e84145b6967
Uniswap,Uniswap V2 Router 2,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D
Compound,Compound: cUNI Token,0x35A18000230DA775CAc24873d00Ff85BccdeD550
Compound,Compound: Comptroller ,0x3d9819210A31b4961b30EF54bE2aeD79B9c9Cd3B
Paraswap,Paraswap P4,0x1bD435F3C054b6e901B7b108a0ab7617C808677b
Wrapped Ether,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
1inch,1inch Exchange,0x11111254369792b2ca5d084ab5eea397ca8fa48b
1inch,1inch V2,0x111111125434b319222cdbf8c261674adb56f3ae
1inch,1inch V3,0x11111112542D85B3EF69AE05771c2dCCff4fAa26
Paraswap,Paraswap,0x9509665d015bfe3c77aa5ad6ca20c8afa1d98989
Paraswap,Paraswap V2,0x86969d29F5fd327E1009bA66072BE22DB6017cC6
Paraswap,Paraswap V3,0xf90e98f3d8dce44632e5020abf2e122e0f99dfab
Furucombo,Furucombo: Proxy v0.4.1,0x57805e5a227937bac2b0fdacaa30413ddac6b8e1
Furucombo,Furucombo: Proxy v1.0.0,0x17e8ca1b4798b97602895f63206afcd1fc90ca5f
Yearn Finance,Yearn Recycler,0x5F07257145fDd889c6E318F99828E68A449A5c7A
RootKit Finance,RootKit Finance: Deployer,0x804cc8d469483d202c69752ce0304f71ae14abdf
DEX.AG,DEX.AG: Proxy Contract ,0x745daa146934b27e3f0b6bff1a6e36b9b90fb131
Cream.Finance,Cream.Finance: Deployer,0x197939c1ca20c2b506d6811d8b6cdb3394471074
Zerion,Zerion: DeFi SDK v1.0,0xb2be281e8b11b47fec825973fc8bb95332022a54
KeeperDAO,KeeperDAO,0x3d71d79c224998e608d03c5ec9b405e7a38505f0
Eth2 Deposit Contract ,Eth2 Deposit Contract ,0x00000000219ab540356cBB839Cbe05303d7705Fa
